smiles,cid,mouse_vo,GHS_Category
Brc1ccc(CNCC2CCC(CNCc3ccc(Br)cc3)CC2)cc1.Cl.Cl,102039.0,351.0,4
Brc1ccc(N2CN(c3ccc(Br)cc3)CP(c3ccccc3)C2)cc1,3058100.0,240.0,3
Brc1ccc(NN=Cc2ccc3c(c2)OCO3)cc1,9578588.0,1800.0,4
Brc1ccc(NN=Cc2ccccc2)cc1,9578426.0,1250.0,4
Brc1ccc(OC(=Nc2ccccc2)c2ccccc2)cc1,3058953.0,1000.0,4
Brc1ccc(OCCCCCCCCN2CCSC2)nc1.Cl,218888.0,600.0,4
Brc1ccc(OCCCCCCCN2CCSC2)nc1.Cl,218880.0,800.0,4
Brc1ccc(OCCCCCCN2CCSC2)nc1.Cl,218872.0,525.0,4
Brc1ccc(OCCCCCN2CCSC2)nc1.Cl,218858.0,900.0,4
Brc1ccc(OCCCCCN2CCSC2)nc1.O=C(O)CC(O)(CC(=O)O)C(=O)O,218860.0,400.0,4
Brc1ccc(OCCCCCNCCSSCCNCCCCCOc2ccc(Br)cn2)nc1.Cl.Cl,218826.0,750.0,4
Brc1ccc(OCCCCN2CCSC2)nc1.Cl,218846.0,600.0,4
Brc1ccc(OCCN2CCSC2)nc1.Cl,218836.0,400.0,4
Brc1ccc(SCCCCCCCCCCN2CCSC2)nc1.Cl.Cl,3038823.0,600.0,4
Brc1ccc(SCCCCCCCN2CCSC2)nc1.Cl.Cl,3038813.0,450.0,4
Brc1ccc(SCCCCCCN2CCSC2)nc1.Cl,3038805.0,500.0,4
Brc1ccc(SCCCCCN2CCSC2)nc1.Cl,3038797.0,800.0,4
Brc1ccc(SCCCCN2CCSC2)nc1.Cl,3038791.0,650.0,4
Brc1cccc(Br)c1,7927.0,2250.0,5
Brc1ccccc1,7961.0,2700.0,5
Brc1ccccc1-c1ccc(COCc2cccnc2)cc1.O=C(O)C(=O)O,3066126.0,1000.0,4
Brc1ccccc1CNCC1CCC(CNCc2ccccc2Br)CC1.Cl.Cl,102033.0,496.0,4
Brc1ccccc1NN=Cc1ccccc1,9578396.0,800.0,4
Brc1cnc(SCCCCCN2CCSC2)c(Br)c1.Cl,3038795.0,600.0,4
Brc1cnc2c3ncc(Br)n3ccn12,42860.0,200.0,3
Brc1cnc2c3nccn3ccn12,42859.0,200.0,3
Brc1nc(Br)c(Br)[nH]1,16253.0,40.0,2
